Gene,RLS
YER032W,22.8
YER033C,26.4
YER034W,25
YER035W,33.8
YER037W,22.62222
YER038W-A,23.2
YER039C-A,19.8
YER039C,24.2
YER040W,21.99725
YER041W,20.6
YER042W,24.2
YER044C-A,20.4
YER044C,10.4
YER045C,20.6
YER046W-A,27.6
YER046W,25.8
YER047C,26.8
YER048C,22.8
YER049W,10.8
YER050C,31.6
YER051W,29.12
YER052C,11.93333
YER053C,25.75385
YER054C,24.2
YER055C,28.4
YER056C-A,28.53846
YER056C,29.4
YER057C,29
YER058W,23.6
YER059W,31
YER060W-A,29.2
YER060W,23.4
YER061C,28.6
YER062C,17.4
YER063W,33.8
YER064C,21.4
YER065C,29.01176
YER066C-A,23.4
YER066W,22.6
YER067C-A,30.6
YER067W,17.4
YER068C-A,24.6
YER068W,10
YER069W,23.4
YER070W,9.72
YER071C,27.2
YER072W,18
YER073W,26.68
YER074W,16.4322
YER075C,23.4
YER077C,17.6
YER078C,25.4
YER079W,21.2
YER080W,28.18182
YER081W,22.8
YER083C,18
YER084W,16.6
YER085C,35.4
YER086W,23.4
YER087C-A,21.8
YER087W,25.8
YER088C,20.2
YER089C,21.8
YER090W,28.6
YER091C-A,29.69091
YER091C,19
YER092W,30.8
YER093C-A,18
YER095W,30.65
YER096W,31.6
YER097W,29.8
YER098W,22.4
YER101C,23.8
YER103W,29.2
YER106W,24.8
YER108C,26
YER109C,28.8
YER110C,22.8
YER111C,13.24
YER113C,24.6
YER114C,35.2
YER115C,27.6
YER116C,27.39506
YER117W,31.08696
YER118C,21.4
YER119C-A,24.8
YER119C,31.2
YER120W,16.6
YER121W,27
YER122C,14.2
YER123W,22
YER124C,27.6
YER128W,29.92
YER129W,19.8
YER130C,19.2
YER131W,26.94783
YER132C,21.6
YER134C,25.2
YER135C,30
YER137C,22.4
YER139C,22
YER140W,24.8
YER141W,23.8
YER142C,19
YER143W,21
YER144C,20.2
YER145C,28.70769
YER149C,28.6
YER150W,29
YER151C,27.66154
YER152C,23.6
YER153C,23
YER154W,21.76
YER155C,15.2
YER156C,32.6
YER158C,22
YER161C,19.6
YER162C,32.6
YER163C,19.2
YER164W,32.30588
