systematic,gene,sgd
YBR249C,ARO4,S000000453
YBR250W,SPO23,S000000454
YBR251W,MRPS5,S000000455
YBR252W,DUT1,S000000456
YBR253W,SRB6,S000000457
YBR254C,TRS20,S000000458
YBR255C-A,YBR255C-A,S000007649
YBR255W,MTC4,S000000459
YBR256C,RIB5,S000000460
YBR257W,POP4,S000000461
YBR258C,SHG1,S000000462
YBR259W,YBR259W,S000000463
YBR260C,RGD1,S000000464
YBR261C,TAE1,S000000465
YBR262C,MIC12,S000000466
YBR263W,SHM1,S000000467
YBR264C,YPT10,S000000468
YBR265W,TSC10,S000000469
YBR266C,SLM6,S000000470
YBR267W,REI1,S000000471
YBR268W,MRPL37,S000000472
YBR269C,SDH8,S000000473
YBR270C,BIT2,S000000474
YBR271W,EFM2,S000000475
YBR272C,HSM3,S000000476
YBR273C,UBX7,S000000477
YBR274W,CHK1,S000000478
YBR275C,RIF1,S000000479
YBR276C,PPS1,S000000480
YBR277C,YBR277C,S000000481
YBR278W,DPB3,S000000482
YBR279W,PAF1,S000000483
YBR280C,SAF1,S000000484
YBR281C,DUG2,S000000485
YBR282W,MRPL27,S000000486
YBR283C,SSH1,S000000487
YBR284W,YBR284W,S000000488
YBR285W,YBR285W,S000000489
YBR286W,APE3,S000000490
YBR287W,YBR287W,S000000491
YBR288C,APM3,S000000492
YBR289W,SNF5,S000000493
YBR290W,BSD2,S000000494
YBR291C,CTP1,S000000495
YBR292C,YBR292C,S000000496
YBR293W,VBA2,S000000497
YBR294W,SUL1,S000000498
YBR295W,PCA1,S000000499
YBR296C,PHO89,S000000500
YBR296C-A,YBR296C-A,S000028605
YBR297W,MAL33,S000000501
YBR298C,MAL31,S000000502
YBR298C-A,YBR298C-A,S000028606
YBR299W,MAL32,S000000503
YBR300C,YBR300C,S000000504
YBR301W,PAU24,S000000505
YBR302C,COS2,S000000506
YCL001W,RER1,S000000507
YCL001W-A,YCL001W-A,S000007221
YCL001W-B,YCL001W-B,S000007596
YCL002C,YCL002C,S000000508
YCL004W,PGS1,S000000510
YCL005W,LDB16,S000000511
YCL005W-A,VMA9,S000028508
YCL007C,YCL007C,S000000513
YCL008C,STP22,S000000514
YCL009C,ILV6,S000000515
YCL010C,SGF29,S000000516
YCL011C,GBP2,S000000517
YCL012C,YCL012C,S000029705
YCL014W,BUD3,S000000520
YCL016C,DCC1,S000000521
YCL017C,NFS1,S000000522
YCL018W,LEU2,S000000523
YCL019W,YCL019W,S000000524
YCL020W,YCL020W,S000000525
YCL021W-A,YCL021W-A,S000007549
YCL022C,YCL022C,S000000527
YCL023C,YCL023C,S000000528
YCL024W,KCC4,S000000529
YCL025C,AGP1,S000000530
YCL026C-A,FRM2,S000000589
YCL026C-B,HBN1,S000007548
YCL027W,FUS1,S000000532
YCL028W,RNQ1,S000000533
YCL029C,BIK1,S000000534
YCL030C,HIS4,S000000535
YCL031C,RRP7,S000000536
YCL032W,STE50,S000000537
YCL033C,MXR2,S000000538
YCL034W,LSB5,S000000539
YCL035C,GRX1,S000000540
YCL036W,GFD2,S000000541
YCL037C,SRO9,S000000542
YCL038C,ATG22,S000000543
YCL039W,GID7,S000000544
YCL040W,GLK1,S000000545
YCL041C,YCL041C,S000000546
YCL042W,YCL042W,S000000547
YCL043C,PDI1,S000000548
YCL044C,MGR1,S000000549
YCL045C,EMC1,S000000550
YCL046W,YCL046W,S000000551
YCL047C,POF1,S000000552
YCL048W,SPS22,S000000553
YCL048W-A,YCL048W-A,S000087203
YCL049C,YCL049C,S000000554
YCL050C,APA1,S000000555
YCL051W,LRE1,S000000556
YCL052C,PBN1,S000000557
YCL054W,SPB1,S000000559
YCL054W-A,RDT1,S000178054
YCL055W,KAR4,S000000560
YCL056C,PEX34,S000000561
YCL057C-A,MIC10,S000007547
YCL057W,PRD1,S000000562
YCL058C,FYV5,S000000563
YCL058W-A,ADF1,S000028518
YCL059C,KRR1,S000000564
YCL061C,MRC1,S000000566
YCL063W,VAC17,S000000568
YCL064C,CHA1,S000000569
YCL065W,YCL065W,S000000570
YCL066W,HMLALPHA1,S000000571
YCL067C,HMLALPHA2,S000000572
YCL068C,YCL068C,S000000573
