gene,orf,no. of probes,measurments,F-statistic,#NAME?,difference,YPD,YPDGE,YPG,YPE,YPL
oxa1,YER154W,3,19,4.9974,1.81623,0.12311,0.78529,0.66219,0.71576,0.66814,0.68875
bem2,YER155C,2,17,6.26007,2.06263,0.31808,0.73748,0.63472,0.92943,0.84351,0.9528
YER156C,YER156C,4,42,16.54171,6.80505,0.11552,0.90699,0.93771,1.00858,1.02251,1.0113
SEC34,YER157W,0,0,,,,,,,,
YER158C,YER158C,4,44,1.31516,0.54747,0.05877,1.02688,1.05977,1.05519,1.08565,1.07696
BUR6,YER159C,0,0,,,,,,,,
spt2,YER161C,4,44,0.4531,0.11382,0.01925,1.00826,1.01392,0.99522,1.01447,1.01337
rad4,YER162C,4,44,2.60843,1.28233,0.043,1.01842,1.0303,1.03061,1.06141,1.06034
YER163C,YER163C,4,44,1.86911,0.86072,0.05236,1.01174,1.04327,1.02819,1.06409,1.05512
CHD1,YER164W,4,44,7.62546,3.80186,0.09331,0.99912,1.041,1.05755,1.09243,1.07077
PAB1,YER165W,0,0,,,,,,,,
YER166W,YER166W,4,44,0.33711,0.07004,0.01275,1.00645,1.00913,1.0058,1.01855,1.00999
BCK2,YER167W,4,41,3.39282,1.69587,0.05098,0.98497,0.96607,0.97675,1.01705,1.00598
CCA1,YER168C,0,0,,,,,,,,
RPH1,YER169W,4,44,2.58738,1.2704,0.06588,0.99154,1.04361,1.03105,1.05742,1.04018
adk2,YER170W,4,44,0.0641,0.00345,0.01186,1.01952,1.02202,1.01906,1.03092,1.02393
rad3,YER171W,0,0,,,,,,,,
BRR2,YER172C,0,0,,,,,,,,
rad24,YER173W,4,44,0.49177,0.12974,0.02498,0.98586,1.00165,0.98922,1.01084,0.99883
GRX4,YER174C,4,44,1.8122,0.82823,0.06459,1.01375,1.0476,1.04969,1.07834,1.06564
YER175C,YER175C,4,44,0.20251,0.02905,0.01598,0.99432,1.00575,0.99879,1.0103,1.0079
ECM32,YER176W,4,44,0.10023,0.00804,0.00949,1.01214,1.01818,1.00869,1.01528,1.01404
bmh1,YER177W,4,44,1.76764,0.80281,0.05752,0.97943,0.97544,0.95336,0.95628,0.9219
pda1,YER178W,4,44,14.04028,6.20429,0.13192,0.96506,0.9574,0.83315,0.84543,0.92224
dmc1,YER179W,4,43,2.55427,1.24721,0.07527,1.01497,1.05976,1.04525,1.09024,1.08374
ISC10,YER180C,4,44,0.48011,0.12488,0.02726,1.02073,1.03752,1.03267,1.04799,1.04133
YER181C,YER181C,4,44,2.45378,1.19455,0.07999,1.03388,1.08047,1.07034,1.11387,1.09908
YER182W,YER182W,4,44,1.14953,0.45637,0.04034,1.00381,1.01744,0.99652,1.03686,1.02061
FAU1,YER183C,4,44,0.22711,0.03556,0.01311,1.01496,1.02116,1.01367,1.02678,1.02447
YER184C,YER184C,4,44,1.12592,0.44355,0.03814,1.01822,1.0369,1.03226,1.05635,1.05108
YER185W,YER185W,4,44,0.17369,0.02208,0.01806,1.01588,1.02201,1.0189,1.03393,1.02709
YER186C,YER186C,4,42,2.69955,1.32371,0.07331,1.00821,1.05069,1.03574,1.08152,1.05596
YER187W,YER187W,4,44,0.78182,0.26387,0.02705,1.01188,1.0285,1.02008,1.03893,1.03713
YER188W,YER188W,4,44,0.63072,0.19121,0.0415,1.02695,1.03532,1.02101,1.06251,1.04688
deg1,YFL001W,2,22,1.17435,0.442,0.1031,0.83727,0.73417,0.75959,0.75728,0.76614
SPB4,YFL002C,0,0,,,,,,,,
MSH4,YFL003C,3,33,0.69775,0.22134,0.04334,1.01364,1.02421,1.00075,1.04409,1.02769
VTC2,YFL004W,4,44,1.66507,0.74442,0.04523,1.00774,0.97143,0.96251,0.98429,0.97111
sec4,YFL005W,0,0,,,,,,,,
YFL006W,YFL006W,2,22,3.49585,1.48094,0.09175,1.0056,0.92996,0.91567,0.92073,0.91385
BLM3,YFL007W,2,22,1.86514,0.77199,0.06192,1.00652,0.95771,0.9446,0.96262,0.94822
smc1,YFL008W,0,0,,,,,,,,
cdc4,YFL009W,0,0,,,,,,,,
YFL010C,YFL010C,2,22,1.16515,0.43757,0.05168,1.03408,0.9968,0.9824,1.00188,0.99768
AUA1,YFL010W-A,4,44,1.56141,0.68564,0.05197,1.01166,0.97693,0.96687,0.97734,0.95969
HXT10,YFL011W,2,22,3.27411,1.39138,0.11,1.02962,0.94412,0.93623,0.91962,0.92065
YFL012W,YFL012W,2,22,1.18581,0.44751,0.06792,1.02478,0.96291,0.95687,0.96998,0.95855
YFL013C,YFL013C,2,22,1.77346,0.72884,0.07858,1.01783,0.96403,0.93924,0.97629,0.98677
YFL013W-A,YFL013W-A,4,44,1.37068,0.57839,0.06654,1.00905,0.97034,0.9425,0.96805,0.96656
HSP12,YFL014W,4,44,0.88269,0.31487,0.04006,1.04176,1.03828,1.02001,1.06007,1.04323
YFL015C,YFL015C,4,44,2.16917,1.03224,0.06852,1.02134,0.97862,0.97649,0.98005,0.95282
MDJ1,YFL016C,4,33,18.04689,6.23464,0.22028,0.76184,0.67943,0.58653,0.54156,0.59996
GNA1,YFL017C,0,0,,,,,,,,
LPD1,YFL018C,4,30,14.03728,4.99706,0.18475,0.78555,0.75477,0.62612,0.62876,0.60081
YFL018W-A,YFL018W-A,0,0,,,,,,,,
YFL019C,YFL019C,4,44,0.64775,0.19913,0.03019,1.03772,1.03407,1.01332,1.04351,1.03658
